feature_name,feature_importance,sensor,agg,axis
"fBodyGyro-bandsEnergy()-49,56",0.00037288277896705595,fBodyGyro,bandsEnergy(),"49,56"
"fBodyGyro-bandsEnergy()-49,56",0.00037288277896705595,fBodyGyro,bandsEnergy(),"49,56"
"fBodyGyro-bandsEnergy()-57,64",0.0003713923654605533,fBodyGyro,bandsEnergy(),"57,64"
"fBodyGyro-bandsEnergy()-57,64",0.0003713923654605533,fBodyGyro,bandsEnergy(),"57,64"
"fBodyGyro-bandsEnergy()-57,64",0.0003713923654605533,fBodyGyro,bandsEnergy(),"57,64"
"fBodyAcc-bandsEnergy()-1,24.1",0.00036915774508212274,fBodyAcc,bandsEnergy(),"1,24.1"
tGravityAcc-mad()-Z,0.00036548776427892845,tGravityAcc,mad(),Z
tBodyGyroJerk-max()-Z,0.0003632775384968576,tBodyGyroJerk,max(),Z
"fBodyGyro-bandsEnergy()-25,32",0.0003614029704303402,fBodyGyro,bandsEnergy(),"25,32"
"fBodyGyro-bandsEnergy()-25,32",0.0003614029704303402,fBodyGyro,bandsEnergy(),"25,32"
"fBodyGyro-bandsEnergy()-25,32",0.0003614029704303402,fBodyGyro,bandsEnergy(),"25,32"
tBodyGyroJerk-max()-X,0.000358660409328514,tBodyGyroJerk,max(),X
"fBodyGyro-bandsEnergy()-33,40.2",0.00035842662041669264,,,
fBodyAcc-meanFreq()-X,0.00035170916000184084,fBodyAcc,meanFreq(),X
fBodyBodyGyroJerkMag-kurtosis(),0.0003507566879364693,fBodyBodyGyroJerkMag,kurtosis(),
fBodyGyro-iqr()-X,0.00035057926142311894,fBodyGyro,iqr(),X
"tBodyGyro-arCoeff()-Y,1",0.0003502835453517037,tBodyGyro,arCoeff(),"Y,1"
tBodyGyro-min()-Z,0.00034659275171186295,tBodyGyro,min(),Z
tBodyAcc-energy()-Y,0.00034086811242845416,tBodyAcc,energy(),Y
tBodyGyroJerkMag-arCoeff()2,0.00034084601747424277,tBodyGyroJerkMag,arCoeff()2,
"tBodyGyro-arCoeff()-Z,4",0.00033920460007642373,tBodyGyro,arCoeff(),"Z,4"
"fBodyGyro-bandsEnergy()-33,48.2",0.0003370734278880539,,,
tBodyGyroJerkMag-max(),0.00033693226518839383,tBodyGyroJerkMag,max(),
"fBodyGyro-bandsEnergy()-25,48.1",0.0003363030323744156,,,
"tBodyAccJerk-arCoeff()-X,3",0.00033598666313451126,tBodyAccJerk,arCoeff(),"X,3"
"fBodyGyro-bandsEnergy()-17,24.1",0.0003343502170453258,,,
tBodyGyroMag-energy(),0.00033341061035257785,tBodyGyroMag,energy(),
fBodyGyro-entropy()-Z,0.00033178198820671927,fBodyGyro,entropy(),Z
tBodyGyro-max()-Y,0.00033098462593851417,tBodyGyro,max(),Y
"fBodyAccJerk-bandsEnergy()-25,48.2",0.00033043061539154446,fBodyAccJerk,bandsEnergy(),"25,48.2"
tBodyGyroJerk-min()-Y,0.00032646874274733326,tBodyGyroJerk,min(),Y
"fBodyGyro-bandsEnergy()-25,48.2",0.00032641609315160383,,,
fBodyAccMag-kurtosis(),0.00032527454142698123,fBodyAccMag,kurtosis(),
tBodyAcc-max()-Y,0.0003245439591471522,tBodyAcc,max(),Y
"fBodyGyro-bandsEnergy()-17,32",0.0003223671416562847,fBodyGyro,bandsEnergy(),"17,32"
"fBodyGyro-bandsEnergy()-17,32",0.0003223671416562847,fBodyGyro,bandsEnergy(),"17,32"
"fBodyGyro-bandsEnergy()-17,32",0.0003223671416562847,fBodyGyro,bandsEnergy(),"17,32"
"tBodyGyro-arCoeff()-Y,4",0.00031935506777044394,tBodyGyro,arCoeff(),"Y,4"
fBodyBodyGyroMag-max(),0.0003190826881651989,fBodyBodyGyroMag,max(),
"tBodyGyroJerk-arCoeff()-X,3",0.00031831170185466726,tBodyGyroJerk,arCoeff(),"X,3"
tBodyGyroJerkMag-entropy(),0.0003173281255020613,tBodyGyroJerkMag,entropy(),
"tBodyAccJerk-arCoeff()-Z,3",0.0003170489845409686,tBodyAccJerk,arCoeff(),"Z,3"
fBodyBodyGyroMag-energy(),0.0003144749610621768,fBodyBodyGyroMag,energy(),
fBodyAccJerk-skewness()-Y,0.0003142976542916242,fBodyAccJerk,skewness(),Y
"fBodyAccJerk-bandsEnergy()-17,32",0.00031271195526203817,fBodyAccJerk,bandsEnergy(),"17,32"
fBodyAcc-entropy()-Z,0.00031233860326188153,fBodyAcc,entropy(),Z
tBodyGyroJerkMag-std(),0.00030825743074350693,tBodyGyroJerkMag,std(),
"fBodyGyro-bandsEnergy()-57,64.2",0.0003059467380820509,,,
tBodyAcc-entropy()-Y,0.00030512051749389824,tBodyAcc,entropy(),Y
"fBodyAccJerk-bandsEnergy()-49,64.2",0.000304964814043458,fBodyAccJerk,bandsEnergy(),"49,64.2"
"fBodyAcc-bandsEnergy()-33,40.2",0.0003028926021357113,fBodyAcc,bandsEnergy(),"33,40.2"
"fBodyAccJerk-bandsEnergy()-1,8.2",0.00030187568499768255,fBodyAccJerk,bandsEnergy(),"1,8.2"
fBodyBodyAccJerkMag-mad(),0.0003015685682363935,fBodyBodyAccJerkMag,mad(),
tBodyAccJerk-max()-Y,0.00030116167242336985,tBodyAccJerk,max(),Y
"fBodyGyro-bandsEnergy()-49,56.1",0.0003009797085935933,,,
tBodyAccJerkMag-max(),0.0002976199376685173,tBodyAccJerkMag,max(),
"fBodyAcc-bandsEnergy()-17,32",0.00029639656766422843,fBodyAcc,bandsEnergy(),"17,32"
fBodyAcc-iqr()-X,0.0002962529812186646,fBodyAcc,iqr(),X
fBodyAccJerk-std()-Z,0.00029567373271798187,fBodyAccJerk,std(),Z
"tBodyGyroJerk-arCoeff()-Z,2",0.00029552263199744493,tBodyGyroJerk,arCoeff(),"Z,2"
tBodyAccJerkMag-arCoeff()2,0.0002955006126497155,tBodyAccJerkMag,arCoeff()2,
tBodyAccMag-iqr(),0.0002951831216972205,tBodyAccMag,iqr(),
fBodyAccJerk-max()-Z,0.0002929494170135332,fBodyAccJerk,max(),Z
tBodyGyroMag-arCoeff()2,0.00029210147806841993,tBodyGyroMag,arCoeff()2,
tBodyGyro-entropy()-Y,0.00029119661362267987,tBodyGyro,entropy(),Y
fBodyBodyGyroMag-min(),0.0002861612764128784,fBodyBodyGyroMag,min(),
"fBodyAcc-bandsEnergy()-49,56.2",0.00028463271069469157,fBodyAcc,bandsEnergy(),"49,56.2"
"tBodyAcc-arCoeff()-X,4",0.00027917783166865574,tBodyAcc,arCoeff(),"X,4"
tBodyAcc-mean()-Y,0.00027834228272547557,tBodyAcc,mean(),Y
tBodyGyroJerk-entropy()-Y,0.0002765549156989869,tBodyGyroJerk,entropy(),Y
"fBodyAccJerk-bandsEnergy()-25,32.2",0.0002762389943946142,fBodyAccJerk,bandsEnergy(),"25,32.2"
tBodyGyroJerkMag-mad(),0.0002754524938185911,tBodyGyroJerkMag,mad(),
fBodyAccJerk-skewness()-Z,0.0002752299617646226,fBodyAccJerk,skewness(),Z
tBodyGyroMag-min(),0.0002747028536104241,tBodyGyroMag,min(),
fBodyAccMag-min(),0.0002743473988881908,fBodyAccMag,min(),
"tBodyAccJerk-arCoeff()-Y,3",0.00027427453417261675,tBodyAccJerk,arCoeff(),"Y,3"
"fBodyGyro-bandsEnergy()-41,48.2",0.0002741945341298867,,,
"fBodyAcc-bandsEnergy()-25,32.2",0.00027361575314598254,fBodyAcc,bandsEnergy(),"25,32.2"
fBodyAcc-mean()-Z,0.0002733934676225013,fBodyAcc,mean(),Z
tBodyGyroJerk-std()-Y,0.0002723690620124415,tBodyGyroJerk,std(),Y
tBodyGyroJerk-mean()-X,0.00026775326303354847,tBodyGyroJerk,mean(),X
"tBodyAcc-arCoeff()-Z,1",0.0002652159901957434,tBodyAcc,arCoeff(),"Z,1"
tBodyAccJerk-min()-Y,0.00026445616666829884,tBodyAccJerk,min(),Y
tBodyGyro-max()-Z,0.0002636344358355242,tBodyGyro,max(),Z
"fBodyAcc-bandsEnergy()-33,48",0.00026351574135023063,fBodyAcc,bandsEnergy(),"33,48"
fBodyBodyAccJerkMag-meanFreq(),0.0002629977289172245,fBodyBodyAccJerkMag,meanFreq(),
fBodyGyro-iqr()-Y,0.0002625614999681273,fBodyGyro,iqr(),Y
fBodyAcc-iqr()-Z,0.00026196349807267364,fBodyAcc,iqr(),Z
tBodyGyroJerk-iqr()-Y,0.00026154822935818426,tBodyGyroJerk,iqr(),Y
tBodyGyroJerk-mean()-Z,0.0002612045174363677,tBodyGyroJerk,mean(),Z
"tBodyAccJerk-arCoeff()-Z,4",0.00026062395575033356,tBodyAccJerk,arCoeff(),"Z,4"
tBodyGyroJerk-energy()-Y,0.0002597667355154578,tBodyGyroJerk,energy(),Y
fBodyAccJerk-kurtosis()-Y,0.0002539694405751748,fBodyAccJerk,kurtosis(),Y
"tBodyGyroJerk-arCoeff()-Z,4",0.00025377911106118237,tBodyGyroJerk,arCoeff(),"Z,4"
fBodyAccJerk-entropy()-Z,0.00025328335870418905,fBodyAccJerk,entropy(),Z
fBodyAccJerk-mad()-Y,0.00025324287167908973,fBodyAccJerk,mad(),Y
"fBodyAccJerk-bandsEnergy()-9,16.1",0.00025296595463205295,fBodyAccJerk,bandsEnergy(),"9,16.1"
"tBodyGyro-arCoeff()-Y,2",0.00025233452289827725,tBodyGyro,arCoeff(),"Y,2"
"fBodyGyro-bandsEnergy()-49,64.2",0.0002502740460810362,,,
fBodyAccJerk-meanFreq()-Y,0.0002501903611240849,fBodyAccJerk,meanFreq(),Y
"tBodyAccJerk-arCoeff()-Y,2",0.0002493010910604571,tBodyAccJerk,arCoeff(),"Y,2"
"tBodyAcc-arCoeff()-X,2",0.0002489899699791362,tBodyAcc,arCoeff(),"X,2"
fBodyAcc-kurtosis()-Z,0.0002473934835554943,fBodyAcc,kurtosis(),Z
"tBodyAccJerk-correlation()-Y,Z",0.00024726578265980436,tBodyAccJerk,correlation(),"Y,Z"
fBodyBodyGyroMag-entropy(),0.0002467465373629672,fBodyBodyGyroMag,entropy(),
tBodyGyroMag-iqr(),0.0002467306284866591,tBodyGyroMag,iqr(),
"fBodyAcc-bandsEnergy()-1,16.1",0.00024639112881094807,fBodyAcc,bandsEnergy(),"1,16.1"
fBodyBodyGyroMag-sma(),0.00024581610939191257,fBodyBodyGyroMag,sma(),
fBodyAccJerk-kurtosis()-X,0.0002450121744640979,fBodyAccJerk,kurtosis(),X
"fBodyGyro-bandsEnergy()-9,16.2",0.00024468338396323934,,,
fBodyBodyGyroMag-kurtosis(),0.0002435414365926316,fBodyBodyGyroMag,kurtosis(),
tBodyGyro-entropy()-Z,0.00024301742800406475,tBodyGyro,entropy(),Z
"fBodyAcc-bandsEnergy()-41,48",0.00024286957558047,fBodyAcc,bandsEnergy(),"41,48"
"tBodyAccJerk-arCoeff()-X,1",0.0002427675005420504,tBodyAccJerk,arCoeff(),"X,1"
"tBodyAcc-arCoeff()-Z,4",0.00024252233248698297,tBodyAcc,arCoeff(),"Z,4"
fBodyAccJerk-skewness()-X,0.00024250808008153873,fBodyAccJerk,skewness(),X
tBodyAcc-min()-Z,0.000242414931145459,tBodyAcc,min(),Z
fBodyBodyGyroMag-iqr(),0.0002399382912290201,fBodyBodyGyroMag,iqr(),
"fBodyAcc-bandsEnergy()-57,64.2",0.00023955420763617163,fBodyAcc,bandsEnergy(),"57,64.2"
tBodyAccJerkMag-arCoeff()4,0.00023870330330690593,tBodyAccJerkMag,arCoeff()4,
"fBodyAccJerk-bandsEnergy()-25,32",0.00023809775140206632,fBodyAccJerk,bandsEnergy(),"25,32"
fBodyGyro-mad()-Z,0.000238061308179977,fBodyGyro,mad(),Z
"tBodyGyro-arCoeff()-Z,3",0.00023730309038149928,tBodyGyro,arCoeff(),"Z,3"
"fBodyGyro-bandsEnergy()-33,40.1",0.00023573781353374395,,,
fBodyBodyGyroJerkMag-meanFreq(),0.00023516628876161808,fBodyBodyGyroJerkMag,meanFreq(),
fBodyAcc-mean()-Y,0.00023338769911472604,fBodyAcc,mean(),Y
"fBodyAccJerk-bandsEnergy()-9,16.2",0.0002322185777719133,fBodyAccJerk,bandsEnergy(),"9,16.2"
"fBodyAcc-bandsEnergy()-25,48",0.0002315785319082765,fBodyAcc,bandsEnergy(),"25,48"
"fBodyAccJerk-bandsEnergy()-49,56.1",0.00022927363406786053,fBodyAccJerk,bandsEnergy(),"49,56.1"
fBodyAccJerk-min()-X,0.00022901085997669576,fBodyAccJerk,min(),X
fBodyAcc-energy()-Z,0.0002276804420974833,fBodyAcc,energy(),Z
"fBodyAccJerk-bandsEnergy()-33,48.2",0.00022725467303413824,fBodyAccJerk,bandsEnergy(),"33,48.2"
fBodyAccJerk-meanFreq()-Z,0.00022703199681400988,fBodyAccJerk,meanFreq(),Z
"tBodyAcc-arCoeff()-Z,2",0.00022576240197790377,tBodyAcc,arCoeff(),"Z,2"
tBodyGyroMag-mean(),0.00022508080235523388,tBodyGyroMag,mean(),
"fBodyAcc-bandsEnergy()-25,32",0.0002243519246780013,fBodyAcc,bandsEnergy(),"25,32"
tBodyGyroMag-arCoeff()1,0.00022352095272449934,tBodyGyroMag,arCoeff()1,
tBodyAccJerkMag-arCoeff()1,0.0002228562249213725,tBodyAccJerkMag,arCoeff()1,
"tBodyGyroJerk-arCoeff()-Y,2",0.0002211001031179413,tBodyGyroJerk,arCoeff(),"Y,2"
tBodyAcc-min()-Y,0.00022088827910242555,tBodyAcc,min(),Y
fBodyAcc-mad()-Z,0.00022017589133114512,fBodyAcc,mad(),Z
"fBodyAccJerk-bandsEnergy()-41,48.1",0.000218886135005419,fBodyAccJerk,bandsEnergy(),"41,48.1"
fBodyBodyGyroJerkMag-sma(),0.00021795114448566941,fBodyBodyGyroJerkMag,sma(),
fBodyBodyGyroJerkMag-entropy(),0.00021792491354755117,fBodyBodyGyroJerkMag,entropy(),
tBodyGyro-min()-Y,0.00021713271447682122,tBodyGyro,min(),Y
fBodyBodyGyroMag-std(),0.00021705982145033155,fBodyBodyGyroMag,std(),
tGravityAccMag-min(),0.00021678417921144698,tGravityAccMag,min(),
fBodyGyro-meanFreq()-Y,0.00021647245131478329,fBodyGyro,meanFreq(),Y
tGravityAccMag-entropy(),0.00021488075988433525,tGravityAccMag,entropy(),
tBodyGyroJerkMag-arCoeff()1,0.00021478204672280586,tBodyGyroJerkMag,arCoeff()1,
"angle(tBodyAccJerkMean),gravityMean)",0.0002145537926723493,angle,tBodyAccJerkMean,gravityMean
fBodyAccMag-maxInds,0.00021418228811401625,fBodyAccMag,maxInds,
"tBodyAccJerk-arCoeff()-Y,4",0.00021365911622887355,tBodyAccJerk,arCoeff(),"Y,4"
tBodyGyroMag-arCoeff()3,0.00021139846890178715,tBodyGyroMag,arCoeff()3,
fBodyAccJerk-iqr()-Z,0.00021093387717812965,fBodyAccJerk,iqr(),Z
tBodyAcc-iqr()-Z,0.00021059417731918352,tBodyAcc,iqr(),Z
tBodyGyroJerk-entropy()-Z,0.00021000214867561242,tBodyGyroJerk,entropy(),Z
fBodyAccJerk-energy()-Y,0.0002095369603115598,fBodyAccJerk,energy(),Y
fBodyBodyGyroMag-mean(),0.00020850055406438267,fBodyBodyGyroMag,mean(),
tBodyAcc-energy()-Z,0.0002084816989157086,tBodyAcc,energy(),Z
"tBodyGyroJerk-arCoeff()-Z,1",0.00020829320011202978,tBodyGyroJerk,arCoeff(),"Z,1"
"tBodyGyro-arCoeff()-X,4",0.0002067831388089615,tBodyGyro,arCoeff(),"X,4"
tBodyGyroJerkMag-arCoeff()3,0.00020604877865725894,tBodyGyroJerkMag,arCoeff()3,
tBodyAccJerk-mean()-Y,0.00020545218650068746,tBodyAccJerk,mean(),Y
"fBodyAccJerk-bandsEnergy()-33,48.1",0.0002050721385175357,fBodyAccJerk,bandsEnergy(),"33,48.1"
"tBodyAcc-arCoeff()-Y,1",0.00020476290950711753,tBodyAcc,arCoeff(),"Y,1"
tBodyAccJerkMag-arCoeff()3,0.0002039394247616603,tBodyAccJerkMag,arCoeff()3,
"fBodyAccJerk-bandsEnergy()-33,40.1",0.00020342272975137107,fBodyAccJerk,bandsEnergy(),"33,40.1"
fBodyAccJerk-min()-Z,0.00020340580019253008,fBodyAccJerk,min(),Z
"fBodyAccJerk-bandsEnergy()-25,32.1",0.00020318204274788964,fBodyAccJerk,bandsEnergy(),"25,32.1"
fBodyBodyAccJerkMag-energy(),0.0002030117536167358,fBodyBodyAccJerkMag,energy(),
tBodyGyro-energy()-Y,0.00020094014684143502,tBodyGyro,energy(),Y
fBodyAccJerk-kurtosis()-Z,0.00020028573303308616,fBodyAccJerk,kurtosis(),Z
"angle(tBodyAccMean,gravity)",0.00020002214519441886,angle,tBodyAccMean,gravity
"fBodyAcc-bandsEnergy()-33,40",0.00019973858572872188,fBodyAcc,bandsEnergy(),"33,40"
"fBodyAccJerk-bandsEnergy()-41,48",0.00019900629871807092,fBodyAccJerk,bandsEnergy(),"41,48"
tBodyGyroMag-sma(),0.00019763792513781967,tBodyGyroMag,sma(),
"fBodyAcc-bandsEnergy()-57,64",0.00019689183007801116,fBodyAcc,bandsEnergy(),"57,64"
tBodyAccMag-arCoeff()4,0.0001968029464432959,tBodyAccMag,arCoeff()4,
fBodyBodyGyroJerkMag-mad(),0.00019633284641223952,fBodyBodyGyroJerkMag,mad(),
"fBodyAcc-bandsEnergy()-33,48.2",0.00019513131390215449,fBodyAcc,bandsEnergy(),"33,48.2"
fBodyAccJerk-iqr()-X,0.00019511444624912552,fBodyAccJerk,iqr(),X
"fBodyAcc-bandsEnergy()-41,48.1",0.00019505692348940705,fBodyAcc,bandsEnergy(),"41,48.1"
tBodyGyroMag-max(),0.00019484858242116063,tBodyGyroMag,max(),
tBodyAcc-mean()-X,0.0001946788986431462,tBodyAcc,mean(),X
"fBodyAcc-bandsEnergy()-49,64.1",0.00019446076920001662,fBodyAcc,bandsEnergy(),"49,64.1"
"fBodyGyro-bandsEnergy()-49,64",0.00019333453887790148,fBodyGyro,bandsEnergy(),"49,64"
"fBodyGyro-bandsEnergy()-49,64",0.00019333453887790148,fBodyGyro,bandsEnergy(),"49,64"
"fBodyGyro-bandsEnergy()-49,64",0.00019333453887790148,fBodyGyro,bandsEnergy(),"49,64"
fBodyBodyGyroJerkMag-iqr(),0.0001921965856344856,fBodyBodyGyroJerkMag,iqr(),
fBodyAcc-mad()-Y,0.0001921670384436663,fBodyAcc,mad(),Y
fBodyAcc-entropy()-Y,0.00019027676142130577,fBodyAcc,entropy(),Y
"tBodyAcc-arCoeff()-Y,4",0.0001897977646733261,tBodyAcc,arCoeff(),"Y,4"
tBodyAcc-mean()-Z,0.00018854108428656953,tBodyAcc,mean(),Z
fBodyBodyGyroJerkMag-min(),0.00018583761156608914,fBodyBodyGyroJerkMag,min(),
fBodyAcc-min()-X,0.00018373152791849098,fBodyAcc,min(),X
"fBodyAcc-bandsEnergy()-9,16.2",0.0001826540240561184,fBodyAcc,bandsEnergy(),"9,16.2"
"fBodyAccJerk-bandsEnergy()-17,32.1",0.00018173351573419418,fBodyAccJerk,bandsEnergy(),"17,32.1"
fBodyGyro-min()-Y,0.00018161051032957717,fBodyGyro,min(),Y
"tBodyAccJerk-arCoeff()-X,4",0.00017995587789947125,tBodyAccJerk,arCoeff(),"X,4"
"fBodyAcc-bandsEnergy()-25,32.1",0.00017904066498196863,fBodyAcc,bandsEnergy(),"25,32.1"
fBodyBodyGyroMag-mad(),0.00017885067040713043,fBodyBodyGyroMag,mad(),
"fBodyAccJerk-bandsEnergy()-33,40",0.0001780914651588783,fBodyAccJerk,bandsEnergy(),"33,40"
tBodyGyroJerkMag-arCoeff()4,0.0001766002181849347,tBodyGyroJerkMag,arCoeff()4,
"tBodyGyroJerk-arCoeff()-X,4",0.0001765831297687237,tBodyGyroJerk,arCoeff(),"X,4"
"tBodyAccJerk-arCoeff()-Z,2",0.0001754565116582623,tBodyAccJerk,arCoeff(),"Z,2"
tBodyAccMag-min(),0.00017498196114421562,tBodyAccMag,min(),
"fBodyGyro-bandsEnergy()-49,64.1",0.000173801372331757,,,
tBodyGyroJerk-mean()-Y,0.0001737651712895367,tBodyGyroJerk,mean(),Y
tBodyAccJerkMag-min(),0.00017366726137405504,tBodyAccJerkMag,min(),
fBodyBodyAccJerkMag-iqr(),0.00017229986769474044,fBodyBodyAccJerkMag,iqr(),
"tBodyGyroJerk-arCoeff()-Z,3",0.00017094333446231674,tBodyGyroJerk,arCoeff(),"Z,3"
tGravityAcc-entropy()-Z,0.0001707461718785672,tGravityAcc,entropy(),Z
tBodyAccMag-sma(),0.00017065485872965312,tBodyAccMag,sma(),
fBodyAcc-energy()-Y,0.00017032163720351247,fBodyAcc,energy(),Y
"tBodyAcc-arCoeff()-Y,3",0.00016914981782600617,tBodyAcc,arCoeff(),"Y,3"
"fBodyAccJerk-bandsEnergy()-49,56",0.00016696444740416392,fBodyAccJerk,bandsEnergy(),"49,56"
fBodyAccJerk-mad()-Z,0.0001624928763105744,fBodyAccJerk,mad(),Z
tBodyAccJerk-min()-X,0.0001622170679581236,tBodyAccJerk,min(),X
"tBodyGyro-arCoeff()-Z,2",0.00016135488542652152,tBodyGyro,arCoeff(),"Z,2"
tBodyGyroJerkMag-min(),0.00016130755947432678,tBodyGyroJerkMag,min(),
"fBodyGyro-bandsEnergy()-9,16.1",0.00016068079535955742,,,
"tBodyGyroJerk-arCoeff()-Y,4",0.0001596923857482741,tBodyGyroJerk,arCoeff(),"Y,4"
tBodyGyroMag-arCoeff()4,0.0001586220636521349,tBodyGyroMag,arCoeff()4,
fBodyAcc-min()-Y,0.00015788736373920195,fBodyAcc,min(),Y
fBodyAccJerk-mean()-Y,0.0001567845405742209,fBodyAccJerk,mean(),Y
"tBodyGyro-arCoeff()-Y,3",0.00015544851257234915,tBodyGyro,arCoeff(),"Y,3"
tGravityAccMag-arCoeff()4,0.00015318472827131004,tGravityAccMag,arCoeff()4,
tBodyAcc-max()-Z,0.00015217505353443226,tBodyAcc,max(),Z
fBodyGyro-min()-X,0.00014947957995714592,fBodyGyro,min(),X
tGravityAccMag-arCoeff()3,0.00014604128972896886,tGravityAccMag,arCoeff()3,
fBodyAcc-min()-Z,0.00014602264899984038,fBodyAcc,min(),Z
fBodyAccJerk-maxInds-Y,0.00014599132220208784,fBodyAccJerk,maxInds,Y
"fBodyAcc-bandsEnergy()-49,64.2",0.0001443482926303801,fBodyAcc,bandsEnergy(),"49,64.2"
"tBodyAccJerk-arCoeff()-X,2",0.00014354155911588436,tBodyAccJerk,arCoeff(),"X,2"
"tBodyAcc-arCoeff()-Y,2",0.00014249170780369154,tBodyAcc,arCoeff(),"Y,2"
"tBodyAccJerk-arCoeff()-Y,1",0.00014189307265752483,tBodyAccJerk,arCoeff(),"Y,1"
fBodyAcc-iqr()-Y,0.00014096904539823298,fBodyAcc,iqr(),Y
"tBodyAcc-arCoeff()-Z,3",0.00014074989783936307,tBodyAcc,arCoeff(),"Z,3"
tBodyGyroMag-std(),0.00013768153033772175,tBodyGyroMag,std(),
tBodyGyroMag-mad(),0.0001375721800101314,tBodyGyroMag,mad(),
tBodyGyroJerk-min()-Z,0.00013753123692136906,tBodyGyroJerk,min(),Z
"fBodyAcc-bandsEnergy()-25,48.1",0.00013626867078784068,fBodyAcc,bandsEnergy(),"25,48.1"
fBodyAccMag-skewness(),0.00013612790999836105,fBodyAccMag,skewness(),
fBodyAcc-max()-Z,0.00013575395868879018,fBodyAcc,max(),Z
"fBodyAccJerk-bandsEnergy()-49,64",0.00013437987434277338,fBodyAccJerk,bandsEnergy(),"49,64"
"fBodyAccJerk-bandsEnergy()-57,64.1",0.00013252837802603496,fBodyAccJerk,bandsEnergy(),"57,64.1"
"fBodyAccJerk-bandsEnergy()-57,64",0.00013251244348194677,fBodyAccJerk,bandsEnergy(),"57,64"
"fBodyAccJerk-bandsEnergy()-49,56.2",0.00013060845351146088,fBodyAccJerk,bandsEnergy(),"49,56.2"
tBodyAccMag-entropy(),0.00012934506151086433,tBodyAccMag,entropy(),
"fBodyAccJerk-bandsEnergy()-49,64.1",0.00012789947420135798,fBodyAccJerk,bandsEnergy(),"49,64.1"
"fBodyGyro-bandsEnergy()-33,48.1",0.000127834600227238,,,
"tBodyGyroJerk-arCoeff()-Y,3",0.00012593824483727304,tBodyGyroJerk,arCoeff(),"Y,3"
tBodyAcc-min()-X,0.000125554600398537,tBodyAcc,min(),X
"fBodyGyro-bandsEnergy()-57,64.1",0.0001249640783717464,,,
"tBodyAcc-arCoeff()-X,3",0.00012387723514107205,tBodyAcc,arCoeff(),"X,3"
"fBodyGyro-bandsEnergy()-41,48.1",0.00012035827102617226,,,
"tBodyGyro-arCoeff()-X,3",0.0001191300744276136,tBodyGyro,arCoeff(),"X,3"
fBodyBodyAccJerkMag-min(),0.00011688638880654576,fBodyBodyAccJerkMag,min(),
"fBodyAcc-bandsEnergy()-41,48.2",0.00011585869552054883,fBodyAcc,bandsEnergy(),"41,48.2"
tBodyAccMag-arCoeff()3,0.00011396151087563565,tBodyAccMag,arCoeff()3,
fBodyBodyAccJerkMag-maxInds,0.00011263092325954532,fBodyBodyAccJerkMag,maxInds,
"fBodyAccJerk-bandsEnergy()-41,48.2",0.00011170281998493875,fBodyAccJerk,bandsEnergy(),"41,48.2"
"tBodyGyro-arCoeff()-Z,1",0.00011093573001169121,tBodyGyro,arCoeff(),"Z,1"
"fBodyAcc-bandsEnergy()-57,64.1",0.00010846343153393206,fBodyAcc,bandsEnergy(),"57,64.1"
fBodyBodyGyroJerkMag-maxInds,0.00010798981303746306,fBodyBodyGyroJerkMag,maxInds,
tBodyAcc-std()-Z,0.00010753681337077089,tBodyAcc,std(),Z
"fBodyAcc-bandsEnergy()-33,40.1",0.00010364960704363195,fBodyAcc,bandsEnergy(),"33,40.1"
fBodyAccJerk-min()-Y,0.00010231918527992425,fBodyAccJerk,min(),Y
tBodyGyroJerk-sma(),0.00010069249480658204,tBodyGyroJerk,sma(),
fBodyBodyGyroJerkMag-mean(),9.819914459849878e-05,fBodyBodyGyroJerkMag,mean(),
"fBodyAcc-bandsEnergy()-49,56.1",9.712589088972636e-05,fBodyAcc,bandsEnergy(),"49,56.1"
"fBodyAccJerk-bandsEnergy()-57,64.2",9.514794804787123e-05,fBodyAccJerk,bandsEnergy(),"57,64.2"
tBodyAccJerk-mean()-Z,9.388270495428369e-05,tBodyAccJerk,mean(),Z
"fBodyAcc-bandsEnergy()-49,64",9.096392584247556e-05,fBodyAcc,bandsEnergy(),"49,64"
"tBodyGyro-arCoeff()-X,2",9.067235588730726e-05,tBodyGyro,arCoeff(),"X,2"
tBodyAccJerk-mean()-X,8.665660885355638e-05,tBodyAccJerk,mean(),X
"fBodyAcc-bandsEnergy()-33,48.1",7.63972466465569e-05,fBodyAcc,bandsEnergy(),"33,48.1"
fBodyAccJerk-entropy()-Y,7.013583161286025e-05,fBodyAccJerk,entropy(),Y
fBodyAcc-maxInds-Z,6.795371649280361e-05,fBodyAcc,maxInds,Z
tBodyGyroMag-entropy(),6.226075799522298e-05,tBodyGyroMag,entropy(),
"fBodyAcc-bandsEnergy()-49,56",6.120051368616681e-05,fBodyAcc,bandsEnergy(),"49,56"
fBodyBodyAccJerkMag-entropy(),6.067273213385545e-05,fBodyBodyAccJerkMag,entropy(),
