feature_name,feature_importance,sensor,agg,axis
"tGravityAcc-arCoeff()-X,1",0.004011210422218314,tGravityAcc,arCoeff(),"X,1"
fBodyAccMag-mean(),0.0039872994431517615,fBodyAccMag,mean(),
fBodyAcc-skewness()-X,0.003923635577613723,fBodyAcc,skewness(),X
"tGravityAcc-correlation()-X,Y",0.0035320215003507927,tGravityAcc,correlation(),"X,Y"
fBodyAcc-std()-X,0.003464642302116613,fBodyAcc,std(),X
fBodyAcc-sma(),0.0034447743036735935,fBodyAcc,sma(),
fBodyAcc-meanFreq()-Z,0.0033552683014095785,fBodyAcc,meanFreq(),Z
tGravityAcc-entropy()-X,0.003332949527107508,tGravityAcc,entropy(),X
tGravityAcc-mad()-X,0.0032721056719580656,tGravityAcc,mad(),X
tBodyAccJerk-energy()-X,0.003129679188199464,tBodyAccJerk,energy(),X
"tGravityAcc-correlation()-Y,Z",0.0030844184746838116,tGravityAcc,correlation(),"Y,Z"
tBodyAccMag-energy(),0.0029417974346371916,tBodyAccMag,energy(),
fBodyAccMag-std(),0.002880174845937926,fBodyAccMag,std(),
"fBodyGyro-bandsEnergy()-1,8",0.0028517376989724025,fBodyGyro,bandsEnergy(),"1,8"
"fBodyGyro-bandsEnergy()-1,8",0.0028517376989724025,fBodyGyro,bandsEnergy(),"1,8"
"fBodyGyro-bandsEnergy()-1,8",0.0028517376989724025,fBodyGyro,bandsEnergy(),"1,8"
fBodyBodyAccJerkMag-mean(),0.0028248782028264152,fBodyBodyAccJerkMag,mean(),
"fBodyAcc-bandsEnergy()-17,24.2",0.002754837992246809,fBodyAcc,bandsEnergy(),"17,24.2"
tBodyAccJerkMag-entropy(),0.002720895812425199,tBodyAccJerkMag,entropy(),
tBodyAccJerkMag-energy(),0.0026646284970690435,tBodyAccJerkMag,energy(),
tBodyAcc-energy()-X,0.002645862185396929,tBodyAcc,energy(),X
tBodyAccJerk-std()-Y,0.0026283715605944415,tBodyAccJerk,std(),Y
tBodyGyroJerk-mad()-Z,0.0026106913568997065,tBodyGyroJerk,mad(),Z
fBodyGyro-meanFreq()-X,0.002582943139829352,fBodyGyro,meanFreq(),X
"fBodyAccJerk-bandsEnergy()-33,48",0.002567506093008761,fBodyAccJerk,bandsEnergy(),"33,48"
"tGravityAcc-arCoeff()-Y,4",0.0025358083826260576,tGravityAcc,arCoeff(),"Y,4"
tBodyAccJerk-std()-X,0.002526709700730837,tBodyAccJerk,std(),X
tGravityAcc-sma(),0.0025176597516612807,tGravityAcc,sma(),
tGravityAccMag-max(),0.0024455262607391876,tGravityAccMag,max(),
tBodyAccJerk-mad()-Y,0.0024333405595761332,tBodyAccJerk,mad(),Y
tBodyAccJerk-iqr()-Y,0.002423675128191747,tBodyAccJerk,iqr(),Y
fBodyAccJerk-max()-Y,0.0023980362443401138,fBodyAccJerk,max(),Y
tBodyAccJerk-iqr()-X,0.0023906591934621927,tBodyAccJerk,iqr(),X
"fBodyAccJerk-bandsEnergy()-17,24",0.0023640226409454893,fBodyAccJerk,bandsEnergy(),"17,24"
tBodyGyroJerkMag-sma(),0.0023584889497694026,tBodyGyroJerkMag,sma(),
fBodyAccJerk-mad()-X,0.0023560263962143944,fBodyAccJerk,mad(),X
fBodyGyro-std()-X,0.0023462475957462875,fBodyGyro,std(),X
fBodyGyro-iqr()-Z,0.0023027914944924997,fBodyGyro,iqr(),Z
fBodyAccJerk-mean()-X,0.0022976613086543238,fBodyAccJerk,mean(),X
fBodyGyro-mean()-X,0.002277288824571239,fBodyGyro,mean(),X
tBodyGyro-iqr()-X,0.002272899928628566,tBodyGyro,iqr(),X
"tBodyAcc-correlation()-Y,Z",0.0022477090894641753,tBodyAcc,correlation(),"Y,Z"
fBodyGyro-mad()-X,0.0022444189847261554,fBodyGyro,mad(),X
tBodyGyro-iqr()-Y,0.0022267513914420705,tBodyGyro,iqr(),Y
"fBodyAccJerk-bandsEnergy()-25,48.1",0.0021846983989804343,fBodyAccJerk,bandsEnergy(),"25,48.1"
"fBodyAccJerk-bandsEnergy()-1,16.1",0.00212557105686992,fBodyAccJerk,bandsEnergy(),"1,16.1"
fBodyAccJerk-maxInds-Z,0.0021169662147866846,fBodyAccJerk,maxInds,Z
fBodyAccJerk-entropy()-X,0.002100541597296959,fBodyAccJerk,entropy(),X
fBodyAccJerk-iqr()-Y,0.002085012764914809,fBodyAccJerk,iqr(),Y
tBodyGyro-mad()-X,0.0020713182900083628,tBodyGyro,mad(),X
tBodyGyro-min()-X,0.0020634649443275997,tBodyGyro,min(),X
tBodyAccJerk-max()-X,0.002021614734064218,tBodyAccJerk,max(),X
tBodyGyroJerk-energy()-X,0.0019981019243799224,tBodyGyroJerk,energy(),X
fBodyGyro-maxInds-X,0.0019893275924385318,fBodyGyro,maxInds,X
tBodyGyroJerk-std()-X,0.0019817224192039003,tBodyGyroJerk,std(),X
fBodyGyro-energy()-X,0.0019108395317534988,fBodyGyro,energy(),X
tGravityAccMag-energy(),0.0018981830903525825,tGravityAccMag,energy(),
fBodyAccMag-max(),0.0018912400195298688,fBodyAccMag,max(),
tBodyAcc-entropy()-X,0.0018699474531125462,tBodyAcc,entropy(),X
fBodyAccMag-meanFreq(),0.001835818112493426,fBodyAccMag,meanFreq(),
